k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
2,nearest_neighbors,lobpcg,0.23416572711409164,2.2216643036155928,0.004860589705151385,"(np.float64(0.004292115254193738), np.float64(0.006784923594915572), np.float64(0.005258025083593126))"
2,rbf_gamma0.1,lobpcg,0.19386635477192465,1.9188370742263996,0.025988489246628874,"(np.float64(0.028856882935532263), np.float64(0.04458158263492327), np.float64(0.03503574049875832))"
2,rbf_gamma1,lobpcg,0.23960584446872704,1.8832951793073924,0.016452843079672368,"(np.float64(0.006702020087776993), np.float64(0.011747476902129768), np.float64(0.008534847993074508))"
2,rbf_gamma10,lobpcg,0.2549491740731935,1.9160230074260638,0.007917792400107454,"(np.float64(0.003977445415497463), np.float64(0.006560136679141703), np.float64(0.00495229082443175))"
3,nearest_neighbors,lobpcg,0.287679379561964,1.8180213697195198,0.003646108311125862,"(np.float64(0.00546891821589735), np.float64(0.006107120129433412), np.float64(0.00577042672565153))"
3,rbf_gamma0.1,lobpcg,0.2334212330411052,1.5419347558726944,0.021921743254530716,"(np.float64(0.026908263279446162), np.float64(0.026535813352239677), np.float64(0.026720740520492916))"
3,rbf_gamma1,lobpcg,0.23323787974326243,1.5505004470732178,0.020779215680133103,"(np.float64(0.02610920964564003), np.float64(0.025762307099896367), np.float64(0.02593459837799849))"
3,rbf_gamma10,lobpcg,0.31201431617508024,1.3454342265977475,0.013110905548968882,"(np.float64(0.009030290990910633), np.float64(0.01089487917873756), np.float64(0.009875341435696329))"
4,nearest_neighbors,lobpcg,0.11656211207700336,1.6394532517743743,0.016735043067438077,"(np.float64(0.013796882046672765), np.float64(0.012430503027074356), np.float64(0.013078100128024012))"
4,rbf_gamma0.1,lobpcg,0.26507378732012393,1.369455218888573,0.020759634319750482,"(np.float64(0.03099071192769518), np.float64(0.024823340799448007), np.float64(0.02756628362249629))"
4,rbf_gamma1,lobpcg,0.30897220354592864,1.3378383493441814,0.0034718802529740697,"(np.float64(0.023014527175925552), np.float64(0.020977265547178707), np.float64(0.021948723528995746))"
4,rbf_gamma10,lobpcg,0.3310736602445417,1.235229285578209,0.004846994070196247,"(np.float64(0.01865497451439338), np.float64(0.01824887508672208), np.float64(0.0184496903894199))"
5,nearest_neighbors,lobpcg,0.1391908672354738,1.7892476904084416,0.016861206874795795,"(np.float64(0.013595878776997463), np.float64(0.011045218476229076), np.float64(0.012188536080600046))"
5,rbf_gamma0.1,lobpcg,0.23327452518205033,1.4228512420742356,0.022937631025549906,"(np.float64(0.041317548830590946), np.float64(0.028040018421317932), np.float64(0.03340788543305165))"
5,rbf_gamma1,lobpcg,0.2662845526647437,1.265686253001708,0.025356538917866697,"(np.float64(0.042439177729077696), np.float64(0.03059494287325397), np.float64(0.03555664687958333))"
5,rbf_gamma10,lobpcg,0.33303843954112317,1.180541070564182,0.005659715107238184,"(np.float64(0.018695082721089017), np.float64(0.016853029077206982), np.float64(0.01772632957199183))"
6,nearest_neighbors,lobpcg,0.19301939177958846,1.180691501323339,0.01948125502420156,"(np.float64(0.026051833190833314), np.float64(0.01992864667823638), np.float64(0.022582529823909514))"
6,rbf_gamma0.1,lobpcg,0.24036466268832474,1.3961515720988036,0.013972553139841911,"(np.float64(0.03851156362158796), np.float64(0.023462599755001565), np.float64(0.029159938721622855))"
6,rbf_gamma1,lobpcg,0.25514215479148616,1.39993297042559,0.010913347638723082,"(np.float64(0.03994150953767762), np.float64(0.024978826771663097), np.float64(0.030735886609904423))"
