k,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
2,20,0.2876944537468634,1.5278958684731234,0.00032656113110978525,"(np.float64(0.0016778910674439065), np.float64(0.0031798828085654713), np.float64(0.0021966839528535296))",482.1427465965553
3,40,0.2335698529602136,1.5354128897503372,0.022352575331952985,"(np.float64(0.02583268235706459), np.float64(0.025467486957208324), np.float64(0.02564878478150389))",261.51836484328686
4,20,0.26608010692041056,1.365491858563478,0.022089087408960987,"(np.float64(0.03228159178941675), np.float64(0.0258742010828307), np.float64(0.028724925101376118))",164.3494491159314
5,40,0.27158261692235935,1.273269582977738,0.01747652593983578,"(np.float64(0.03519955718611671), np.float64(0.02502286507662888), np.float64(0.029251356459308413))",114.5181343694599
6,50,0.2974083714304334,1.22552887998718,0.018344324214326392,"(np.float64(0.03500932060984015), np.float64(0.02342414437479541), np.float64(0.02806827836220299))",87.46276520421407
7,25,0.28016538818694187,1.3079766438731517,0.012719057901405583,"(np.float64(0.036202897875590466), np.float64(0.021233266677584305), np.float64(0.026767309101292443))",68.94525330693584
8,20,0.2871132730917891,1.3076874479490606,0.010473677964825881,"(np.float64(0.04127824835272409), np.float64(0.022656387088161548), np.float64(0.029255378295393278))",54.75586993859381
9,35,0.2769075879775757,1.2688373508352457,0.013001325038433544,"(np.float64(0.04629580368714931), np.float64(0.023263786500412893), np.float64(0.030966706098721333))",44.811417120133164
