Algorithm,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,noise
euclidean_auto_15_0.5,0.48159231965519056,0.9008299873510417,0.00998831478777417,"(np.float64(0.08898023758778185), np.float64(0.03775610578837135), np.float64(0.053016319927545644))",1103
euclidean_brute_15_0.5,0.48331537217384934,0.9051106000949274,0.008570351917863527,"(np.float64(0.0823876083525402), np.float64(0.03501333916684787), np.float64(0.049142112314153746))",1095
cosine_auto_15_0.5,0.46544312377495023,0.9208910695040917,0.0371698700551198,"(np.float64(0.10319710739432239), np.float64(0.0435274867117988), np.float64(0.061229144959209586))",1048
cosine_brute_15_0.5,0.46544312377495023,0.9208910695040917,0.0371698700551198,"(np.float64(0.10319710739432239), np.float64(0.0435274867117988), np.float64(0.061229144959209586))",1048
l1_auto_15_0.5,0.5444196315627633,0.7857154027884389,0.0023016363200376424,"(np.float64(0.05073819538852617), np.float64(0.02259311757077285), np.float64(0.03126451627500696))",1104
l1_brute_15_0.5,0.5444196315627633,0.7857154027884389,0.0023016363200376424,"(np.float64(0.05073819538852617), np.float64(0.02259311757077285), np.float64(0.03126451627500696))",1104
euclidean_auto_20_0.5,0.5357422840867597,0.8862077861501647,0.001849584217569193,"(np.float64(0.028914861233276294), np.float64(0.014816251410939871), np.float64(0.019592908921850703))",1140
euclidean_brute_20_0.5,0.5339057600509233,0.8708058474141174,-0.0015630500156758255,"(np.float64(0.028113230315024204), np.float64(0.014423647015314817), np.float64(0.01906558901233407))",1167
cosine_auto_20_0.5,0.5044564287346988,0.8107818621814873,0.04352211795241746,"(np.float64(0.07812161626903183), np.float64(0.040662639231687094), np.float64(0.05348572645681502))",1091
cosine_brute_20_0.5,0.5044564287346988,0.8107818621814873,0.04352211795241746,"(np.float64(0.07812161626903183), np.float64(0.040662639231687094), np.float64(0.05348572645681502))",1091
l1_auto_20_0.5,0.6123353650555623,0.5280862489328156,0.012440834110435247,"(np.float64(0.04837436905382858), np.float64(0.03347926191633576), np.float64(0.039571565791160467))",1193
l1_brute_20_0.5,0.6123353650555623,0.5280862489328156,0.012440834110435247,"(np.float64(0.04837436905382858), np.float64(0.03347926191633576), np.float64(0.039571565791160467))",1193
euclidean_auto_25_0.5,0.6967399223267198,0.48764892156685924,-0.004768093101405656,"(np.float64(0.01516567467184976), np.float64(0.012181496220892244), np.float64(0.013510765660330125))",1295
euclidean_brute_25_0.5,0.6974022255242711,0.48909295553124654,-0.0008601799822687806,"(np.float64(0.01958773860133712), np.float64(0.015637526503583184), np.float64(0.0173911413078838))",1292
cosine_auto_25_0.5,0.6064709977175918,0.5552183707188428,0.07882276364734349,"(np.float64(0.09382840652781196), np.float64(0.06588120047689797), np.float64(0.07740959578849085))",1213
cosine_brute_25_0.5,0.6064709977175918,0.5552183707188428,0.07882276364734349,"(np.float64(0.09382840652781196), np.float64(0.06588120047689797), np.float64(0.07740959578849085))",1213
l1_auto_25_0.5,0.5829323432155105,0.4902739037183993,0.00946976458404114,"(np.float64(0.0326115435879663), np.float64(0.02848747508075926), np.float64(0.030410325911922293))",1196
l1_brute_25_0.5,0.5829323432155105,0.4902739037183993,0.00946976458404114,"(np.float64(0.0326115435879663), np.float64(0.02848747508075926), np.float64(0.030410325911922293))",1196
euclidean_auto_15_1,0.4320822308027496,0.9940519727756809,0.038069146529048865,"(np.float64(0.11086500548208875), np.float64(0.046656909831055436), np.float64(0.06567490693487854))",1024
euclidean_brute_15_1,0.4343800668164343,0.9980472113366409,0.0360059580276237,"(np.float64(0.10485096546717106), np.float64(0.04412400846881197), np.float64(0.062110363452382626))",1016
cosine_auto_15_1,0.46544312377495023,0.9208910695040917,0.0371698700551198,"(np.float64(0.10319710739432239), np.float64(0.0435274867117988), np.float64(0.061229144959209586))",1048
cosine_brute_15_1,0.46544312377495023,0.9208910695040917,0.0371698700551198,"(np.float64(0.10319710739432239), np.float64(0.0435274867117988), np.float64(0.061229144959209586))",1048
l1_auto_15_1,0.5031396919412012,0.7959050133322536,0.019785489086624523,"(np.float64(0.08300718505537674), np.float64(0.03709984200568935), np.float64(0.051280154479650154))",997
l1_brute_15_1,0.5031396919412012,0.7959050133322536,0.019785489086624523,"(np.float64(0.08300718505537674), np.float64(0.03709984200568935), np.float64(0.051280154479650154))",997
euclidean_auto_20_1,0.49280578375691075,0.8730155026054124,0.037705162233618646,"(np.float64(0.07572651862955587), np.float64(0.037539840089970446), np.float64(0.05019604112043594))",1055
euclidean_brute_20_1,0.4883663723783415,0.8591537577429698,0.038937919955661794,"(np.float64(0.07497999772341685), np.float64(0.037264574204625825), np.float64(0.04978588525097093))",1082
cosine_auto_20_1,0.5044564287346988,0.8107818621814873,0.04352211795241746,"(np.float64(0.07812161626903183), np.float64(0.040662639231687094), np.float64(0.05348572645681502))",1091
cosine_brute_20_1,0.5044564287346988,0.8107818621814873,0.04352211795241746,"(np.float64(0.07812161626903183), np.float64(0.040662639231687094), np.float64(0.05348572645681502))",1091
l1_auto_20_1,0.5766627599330606,0.5718786569500133,0.01658375656143302,"(np.float64(0.06960884485645148), np.float64(0.04322413140301838), np.float64(0.05333160493734752))",1124
l1_brute_20_1,0.5766627599330606,0.5718786569500133,0.01658375656143302,"(np.float64(0.06960884485645148), np.float64(0.04322413140301838), np.float64(0.05333160493734752))",1124
euclidean_auto_25_1,0.6016989483556525,0.559736212898961,0.07785229889677626,"(np.float64(0.09008001097279865), np.float64(0.06313344907728002), np.float64(0.07423710402171142))",1210
