k,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
2,20,0.1601105527018482,2.277797338477573,0.6197671530086495,"(np.float64(0.5611644175038817), np.float64(0.5820834580954661), np.float64(0.5714325504948679))",38524.03548825978
3,35,0.20859487149067296,1.675602216264836,0.4818995407274598,"(np.float64(0.5677650212237279), np.float64(0.42221200539871384), np.float64(0.4842884264172668))",21949.09451821202
4,65,0.22151098408397338,1.8646710828620612,0.3146222716631128,"(np.float64(0.6419212170157745), np.float64(0.3341172117046099), np.float64(0.4394845957951185))",14547.746535123984
5,65,0.2492108629274883,1.882945544298062,0.2818387794011552,"(np.float64(0.7122475522023157), np.float64(0.3118601547124357), np.float64(0.4337856854774312))",10570.919795677577
6,50,0.2649442617095644,1.9487585242670729,0.26616776369303413,"(np.float64(0.7313834228410047), np.float64(0.2902707316142688), np.float64(0.41559895843970884))",8257.349337060548
7,60,0.26672304296280286,1.8971131624000745,0.27084515214484794,"(np.float64(0.7491709256270184), np.float64(0.27952250436607806), np.float64(0.40713807870032254))",6801.011853030987
8,45,0.2758582057902962,1.7870060491354058,0.27132258288161115,"(np.float64(0.7812438034530494), np.float64(0.277252148215347), np.float64(0.4092628270252332))",5700.479292917547
9,60,0.2924061416995501,1.8056616190887678,0.2608116438324369,"(np.float64(0.7343801242430832), np.float64(0.25536999922741727), np.float64(0.3789616132665759))",4898.683116546562
