k,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
2,25,0.36713011600182877,1.287172989621169,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))",4405.538666446992
3,35,0.22225862076674718,1.7532573520332928,-0.01203853082141193,"(np.float64(0.08678243952529924), np.float64(0.021163825143888967), np.float64(0.03402893803323605))",2477.417401384701
4,40,0.26140122496249696,1.491245638648967,-0.01681573149299829,"(np.float64(0.0600540800873922), np.float64(0.012078291503595805), np.float64(0.020111654983112584))",1634.2647223890112
5,45,0.27165793909470554,1.5051001576507503,0.007674516876574024,"(np.float64(0.13596824576077335), np.float64(0.02077942667696046), np.float64(0.03604955849412392))",1174.4394145021993
6,55,0.29994048193489725,1.469111791928217,-0.0016948085418588526,"(np.float64(0.13967839780412017), np.float64(0.018856812625250036), np.float64(0.03322781567645336))",901.0957496034324
7,45,0.31259530516751977,1.368813228907523,-0.009938092304534853,"(np.float64(0.1828832846444834), np.float64(0.024200467906913513), np.float64(0.04274464805877301))",748.7284683853932
8,30,0.32683636417848705,1.2332918700572388,0.005036088478811107,"(np.float64(0.1449208707214855), np.float64(0.017629517761604194), np.float64(0.03143499179858757))",575.6644783296028
9,55,0.3260995050764147,1.4112228069655854,-0.003942165552570997,"(np.float64(0.1433041241434308), np.float64(0.01739040465229585), np.float64(0.031016820869676977))",520.162916367392
